Landing Page,Channel,Sessions,Engaged Sessions,Conversions,Engagement Rate
"/","Organic Search","24594","22863","0","0.92961697975115887"
"/mosquito-netting","Organic Search","17570","16482","0","0.93807626636311892"
"(not set)","Organic Search","8568","626","0","0.073062558356676008"
"/screened-in-decks","Organic Search","8191","7697","0","0.93968990355267978"
"/clear-vinyl-plastic-patio-enclosures","Organic Search","5376","4679","0","0.87034970238095233"
"/pergola-screen-curtains","Organic Search","5243","4965","0","0.94697692160976543"
"/boat-screens","Organic Search","4688","4411","0","0.9409129692832765"
"/plan-screen-porch/mesh-and-colors","Organic Search","4385","4170","0","0.95096921322691"
"/awning-screen-enclosures","Organic Search","3955","3776","0","0.95474083438685209"
"/screened-porch","Organic Search","3403","2814","0","0.826917425800764"
"/screen-patio","Organic Search","3394","3057","0","0.9007071302298173"
"/theater-scrims","Organic Search","3290","3048","0","0.92644376899696046"
"/garage-door-screens","Organic Search","3188","3063","0","0.96079046424090342"
"/mosquito-netting/fasteners-and-rigging-ideas","Organic Search","2957","2783","0","0.94115657761244509"
"/screened-porch-enclosures","Organic Search","2898","2810","0","0.96963423050379571"
"/no-see-um-netting-screen","Organic Search","2837","2643","0","0.93161790623898488"
"/cart","Organic Search","2589","2474","0","0.95558130552336806"
"/gazebo-screen-curtains","Organic Search","2564","2383","0","0.9294071762870515"
"/outdoor-projection-screens","Organic Search","2443","2283","0","0.9345067539909947"
"/theatre-scrim","Organic Search","2171","2009","0","0.92538000921234453"
"/plan-screen-porch/outdoor-curtain-tracking","Organic Search","1993","1899","0","0.95283492222779731"
"/roll-up-shade-screens","Organic Search","1789","1571","0","0.8781442146450531"
"/porch-vinyl-curtains","Organic Search","1743","1652","0","0.94779116465863456"
"/plan-screen-porch/sealing-the-base","Organic Search","1680","1626","0","0.96785714285714286"
"/french-door-screens","Organic Search","1647","1533","0","0.930783242258652"
"/patio-winterize","Organic Search","1632","1526","0","0.93504901960784315"
"/options","Organic Search","1546","1412","0","0.91332470892626128"
"/mosquito-net","Organic Search","1508","1442","0","0.95623342175066317"
"/porch-vinyl-panels","Organic Search","1314","1211","0","0.921613394216134"
"/mosquito-curtains-instant-quote","Organic Search","1171","1027","0","0.87702818104184455"
"/yardistry-gazebo-curtains","Organic Search","1159","1080","0","0.93183779119930976"
"/project-gallery/mosquito-netting-1","Organic Search","880","786","0","0.89318181818181819"
"/mosquito-curtains-tracking-installation","Organic Search","833","773","0","0.92797118847539017"
"/shade-screen-mesh","Organic Search","774","700","0","0.90439276485788112"
"/plan-screen-porch/magnetic-doorways","Organic Search","724","682","0","0.94198895027624308"
"/install","Organic Search","704","680","0","0.96590909090909094"
"/a-new-mulligan-blocker-for-golf-course-residents","Organic Search","699","675","0","0.96566523605150212"
"/contact","Organic Search","693","626","0","0.9033189033189033"
"/insulated-curtain-panels","Organic Search","678","630","0","0.92920353982300885"
"/order-mesh-netting-fabrics","Organic Search","654","585","0","0.89449541284403666"
"/product/standard-track","Organic Search","517","479","0","0.92649903288201163"
"/mosquito-enclosures-for-decks","Organic Search","502","491","0","0.97808764940239046"
"/mosquito-curtains-velcro-installation","Organic Search","477","437","0","0.9161425576519916"
"/plan-screen-porch/2-sided-exposure/regular-columns-velcro","Organic Search","438","412","0","0.94063926940639264"
"/mosquito-netting/all-netting-and-attachment-hardware","Organic Search","435","409","0","0.94022988505747129"
"/mosquito-curtains-reviews","Organic Search","414","397","0","0.95893719806763289"
"/what-can-go-wrong-with-clear-vinyl","Organic Search","400","373","0","0.9325"
"/hvac-chiller-screens","Organic Search","392","369","0","0.94132653061224492"
"/caring-for-mosquito-curtains","Organic Search","322","311","0","0.96583850931677018"
"/form-entry","Organic Search","295","150","0","0.50847457627118642"
"/clear-vinyl-instant-quote","Organic Search","261","238","0","0.91187739463601536"
"/industrial-netting","Organic Search","258","235","0","0.91085271317829453"
"/mc-sales","Organic Search","239","233","0","0.97489539748953979"
"/mosquito-netting/let-us-make-it-for-you","Organic Search","229","211","0","0.92139737991266379"
"/clear-vinyl-installation","Organic Search","226","202","0","0.89380530973451322"
"/clear-vinyl-options","Organic Search","225","197","0","0.87555555555555553"
"/about","Organic Search","223","216","0","0.968609865470852"
"/project-gallery/clear-vinyl-plastic-enclosures","Organic Search","217","200","0","0.92165898617511521"
"/caring-for-clear-vinyl","Organic Search","214","200","0","0.93457943925233644"
"/raw-netting-fabric-store","Organic Search","212","202","0","0.95283018867924529"
"/product/clear-adhesive-snaps","Organic Search","207","188","0","0.90821256038647347"
"/order-mesh-panels","Organic Search","194","178","0","0.91752577319587625"
"/why-do-mosquitoes-seem-more-intense-in-northern-climates","Organic Search","180","172","0","0.9555555555555556"
"/product/tie-up-straps","Organic Search","178","160","0","0.898876404494382"
"/prepare","Organic Search","176","164","0","0.93181818181818177"
"/how-to-cope-with-pollen-in-porches-and-gazebos","Organic Search","169","162","0","0.95857988165680474"
"/order-attachments","Organic Search","155","144","0","0.92903225806451617"
"/checkout","Organic Search","152","147","0","0.96710526315789469"
"/product/raw-shark-tooth-scrim","Organic Search","150","130","0","0.8666666666666667"
"/product/heavy-mosquito-mesh-old","Organic Search","149","138","0","0.9261744966442953"
"/product/90-degree-curve-standard","Organic Search","147","133","0","0.90476190476190477"
"/product/black-marine-snaps","Organic Search","138","129","0","0.93478260869565222"
"/tentscreenpanels","Organic Search","135","125","0","0.92592592592592593"
"/mosquito-curtains-faq","Organic Search","134","128","0","0.95522388059701491"
"/work-with-a-planner","Organic Search","125","117","0","0.936"
"/product/black-elastic-cord","Organic Search","122","112","0","0.91803278688524592"
"/screen-porch-enclosures-gs","Organic Search","114","66","0","0.57894736842105265"
"/product/fiberglass-rods","Organic Search","110","99","0","0.9"
"/sale","Organic Search","106","99","0","0.93396226415094341"
"/clear-vinyl-self-installation-advantages","Organic Search","103","92","0","0.89320388349514568"
"/product/shade-mesh-120-roll-old","Organic Search","90","87","0","0.96666666666666667"
"/product/mosquito-curtain","Organic Search","86","85","0","0.98837209302325579"
"/shipping","Organic Search","83","78","0","0.93975903614457834"
"/product/block-magnets","Organic Search","82","78","0","0.95121951219512191"
"/product/stucco-strips","Organic Search","75","71","0","0.94666666666666666"
"/product/white-marine-snaps","Organic Search","75","72","0","0.96"
"/shop","Organic Search","73","72","0","0.98630136986301364"
"/camping-net","Organic Search","72","65","0","0.90277777777777779"
"/fb/mc-quote","Organic Search","71","61","0","0.85915492957746475"
"/gazebos-then-and-now","Organic Search","68","65","0","0.95588235294117652"
"/history-of-mans-deadliest-killer","Organic Search","68","66","0","0.97058823529411764"
"/industrial-mesh","Organic Search","62","56","0","0.90322580645161288"
"/porch-winterize","Organic Search","61","46","0","0.75409836065573765"
"/product/raw-no-see-um-mesh","Organic Search","57","51","0","0.89473684210526316"
"/product/fully-refundable-industrial-snap-tool","Organic Search","56","53","0","0.9464285714285714"
"/order-raw-netting-attachment-hardware","Organic Search","54","51","0","0.94444444444444442"
"/satisfaction-guarantee","Organic Search","52","52","0","1"
"/order-tracking","Organic Search","51","47","0","0.92156862745098034"
"/plan-screen-porch","Organic Search","51","49","0","0.96078431372549022"
"/product/heavy-mosquito-mesh-panels","Organic Search","48","42","0","0.875"
"/product/tether-clips","Organic Search","45","41","0","0.91111111111111109"
"/professionals","Organic Search","45","45","0","1"
"/product/scrim-material-old","Organic Search","43","39","0","0.90697674418604646"
"/product/no-see-um-mesh-old","Organic Search","42","41","0","0.97619047619047616"
"/clear-vinyl-planning-session","Organic Search","41","39","0","0.95121951219512191"
"/product/attachment-items-sales","Organic Search","40","35","0","0.875"
"/project-gallery/black-netting","Organic Search","40","38","0","0.95"
"/what-makes-our-clear-vinyl-product-better","Organic Search","39","36","0","0.92307692307692313"
"/apron-colors-to-choose-from","Organic Search","38","37","0","0.97368421052631582"
"/ordering-clear-vinyl","Organic Search","38","34","0","0.89473684210526316"
"/clear-vinyl-faq","Organic Search","36","32","0","0.88888888888888884"
"/plan-screen-porch/3-sided-exposure/regular-columns-tracking","Organic Search","36","34","0","0.94444444444444442"
"/product/zippered-stucco-strip","Organic Search","36","31","0","0.86111111111111116"
"/product/panel-to-panel-snaps","Organic Search","33","30","0","0.90909090909090906"
"/product/fastwax-cleaner","Organic Search","31","27","0","0.87096774193548387"
"/mosquito-curtain-planning-session","Organic Search","30","27","0","0.9"
"/product/clear-vinyl-panels","Organic Search","29","25","0","0.86206896551724133"
"/product/90-degree-curve-heavy","Organic Search","28","24","0","0.8571428571428571"
"/product/black-adhesive-snaps","Organic Search","28","27","0","0.9642857142857143"
"/product/raw-heavy-mosquito-mesh","Organic Search","27","23","0","0.85185185185185186"
"/product-category/uncategorized","Organic Search","25","11","0","0.44"
"/product/heavy-mosquito-mesh-gs","Organic Search","25","22","0","0.88"
"/cv-sales","Organic Search","22","21","0","0.95454545454545459"
"/product/extra-strength-ring-magnets","Organic Search","22","21","0","0.95454545454545459"
"/plan-screen-porch/single-sided-exposure","Organic Search","21","10","0","0.47619047619047616"
"/client-uploads","Organic Search","20","17","0","0.85"
"/plan-screen-porch/3-sided-exposure","Organic Search","20","19","0","0.95"
"/product/mesh-panels","Organic Search","20","18","0","0.9"
"/project-planning","Organic Search","20","19","0","0.95"
"/product/135-degree-curve-standard","Organic Search","19","18","0","0.94736842105263153"
"/product/end-cap-standard","Organic Search","19","18","0","0.94736842105263153"
"/product/scrim-panels","Organic Search","19","16","0","0.84210526315789469"
"/product/raw-standard-mosquito-mesh-mobile","Organic Search","18","14","0","0.77777777777777779"
"/product/white-adhesive-snaps","Organic Search","18","16","0","0.88888888888888884"
"/products","Organic Search","18","14","0","0.77777777777777779"
"/project-gallery","Organic Search","18","18","0","1"
"/where-is-the-mosquito-capitol","Organic Search","18","12","0","0.66666666666666663"
"/product-category/sealing-sides","Organic Search","17","7","0","0.41176470588235292"
"/plan-screen-porch/4-plus-sided-exposure/screen-a-wrap-around-porch-with-odd-shaped-columns-and-a-tracking-attachment","Organic Search","16","16","0","1"
"/product/fiberglass-rod-clips","Organic Search","15","14","0","0.93333333333333335"
"/store/admin/view_orders.php","Organic Search","14","10","0","0.7142857142857143"
"/calculator-test","Organic Search","13","9","0","0.69230769230769229"
"/plan-screen-porch/3-sided-exposure/regular-columns-velcro","Organic Search","13","10","0","0.76923076923076927"
"/contractor","Organic Search","12","12","0","1"
"/product-category/hidden-product","Organic Search","12","5","0","0.41666666666666669"
"/product/heavy-track","Organic Search","12","12","0","1"
"/weather-curtains","Organic Search","12","12","0","1"
"/opportunities","Organic Search","10","9","0","0.9"
"/product/7ft-straight-track-standard","Organic Search","10","10","0","1"
"/product/no-see-um-mesh-panels","Organic Search","10","9","0","0.9"
"/product/splice-standard","Organic Search","10","6","0","0.6"
"/speed-test","Organic Search","9","8","0","0.88888888888888884"
"/product/7ft-straight-track-heavy","Organic Search","8","7","0","0.875"
"/product/clear-vinyl-plastic-face-shield","Organic Search","8","5","0","0.625"
"","Organic Search","7","0","0","0"
"/dear-martha-stewart","Organic Search","7","7","0","1"
"/heavy-track","Organic Search","7","7","0","1"
"/photos","Organic Search","7","6","0","0.8571428571428571"
"/product-category/other-items","Organic Search","7","5","0","0.7142857142857143"
"/product/attachment-items","Organic Search","7","6","0","0.8571428571428571"
"/product/black-webbing","Organic Search","7","7","0","1"
"/plan-screen-porch/2-sided-exposure","Organic Search","6","6","0","1"
"/plan-screen-porch/2-sided-exposure/regular-columns-tracking","Organic Search","6","6","0","1"
"/plan-screen-porch/3-sided-exposure/irregular-columns-tracking","Organic Search","6","6","0","1"
"/product/belted-ribs","Organic Search","6","6","0","1"
"/product/raw-shark-tooth-scrim-mobile","Organic Search","6","4","0","0.66666666666666663"
"/returns","Organic Search","6","6","0","1"
"/videos","Organic Search","6","6","0","1"
"/checkout/order-received/249314","Organic Search","5","5","0","1"
"/plan-screen-porch/2-sided-exposure/irregular-columns-tracking","Organic Search","5","5","0","1"
"/product/carriers-standard","Organic Search","5","4","0","0.8"
"/product/raw-standard-mosquito-mesh","Organic Search","5","5","0","1"
"/product/white-adhesive-hook-velcro","Organic Search","5","5","0","1"
"/checkout/order-received/237628","Organic Search","4","4","0","1"
"/checkout/order-received/257929","Organic Search","4","2","0","0.5"
"/checkout/order-received/260316","Organic Search","4","4","0","1"
"/checkout/order-received/262478","Organic Search","4","2","0","0.5"
"/checkout/order-received/267130","Organic Search","4","4","0","1"
"/product-category/magnetic-doorways","Organic Search","4","1","0","0.25"
"/product-category/uncategorized/page/2","Organic Search","4","1","0","0.25"
"/product/attachment-items-raw-netting","Organic Search","4","4","0","1"
"/product/project-planner","Organic Search","4","4","0","1"
"/product/raw-industrial-mesh","Organic Search","4","4","0","1"
"/product/raw-shade-mesh","Organic Search","4","4","0","1"
"/product/screen-porch-enclosure-product","Organic Search","4","4","0","1"
"/store/admin/login.php","Organic Search","4","3","0","0.75"
"/blog","Organic Search","3","3","0","1"
"/checkout/order-received/236871","Organic Search","3","3","0","1"
"/faqs","Organic Search","3","3","0","1"
"/plan-screen-porch/free-standing","Organic Search","3","1","0","0.33333333333333331"
"/product/end-cap-heavy","Organic Search","3","3","0","1"
"/product/l-screws","Organic Search","3","3","0","1"
"/product/raw-netting-attachment-items","Organic Search","3","3","0","1"
"/product/roll-up-shade-mesh-screens","Organic Search","3","3","0","1"
"/product/rubber-washers-bags-of-10","Organic Search","3","2","0","0.66666666666666663"
"/product/white-elastic-cord","Organic Search","3","3","0","1"
"/product/zippered-stucco-strips","Organic Search","3","3","0","1"
"/project-gallery/white-netting","Organic Search","3","2","0","0.66666666666666663"
"/rn-sales","Organic Search","3","3","0","1"
"/air-lines-explore-screen-doors-on-aircraft","Organic Search","2","2","0","1"